Artists				# of times on list
__________________________________________________
Cardi B 			1 times
24kGoldn 			1 times
Joel Corry 			3 times
Headie One 			3 times
Drake 				3 times
Nathan Dawe 			2 times
Pop Smoke 			9 times
DaBaby 				1 times
DJ Khaled 			2 times
AJ Tracey 			3 times
Jawsh 685 			1 times
Harry Styles 			3 times
Chris Brown 			2 times
The Weeknd 			1 times
Topic 				1 times
Lady Gaga 			2 times
Paul Woolford 			1 times
Miley Cyrus 			3 times
Juice WRLD 			10 times
Regard 				2 times
Dj 4rain 			1 times
Conan Gray 			1 times
S1mba 				1 times
Tate McRae 			1 times
Jason Derulo 			1 times
Tion Wayne 			1 times
Becky Hill 			1 times
BTS 				1 times
Nines 				11 times
Bring Me The Horizon 		1 times
SAINt JHN 			1 times
PS1 				1 times
Clean Bandit 			1 times
Little Mix 			1 times
Lewis Capaldi 			4 times
Calvin Harris 			1 times
220 KID 			1 times
Lil Mosey 			1 times
StaySolidRocky 			1 times
Tones And I 			1 times
Jubël 				1 times
Digga D 			1 times
Labrinth 			1 times
Aitch 				1 times
Internet Money 			2 times
Jack Harlow 			1 times
Powfu 				1 times
Dave 				3 times
The Killers 			1 times
BØRNS 				1 times
Dua Lipa 			4 times
Dermot Kennedy 			1 times
Taylor Swift 			3 times
Sam Fischer 			1 times
Ava Max 			1 times
Ariana Grande 			1 times
Megan Thee Stallion 		1 times
Ty Dolla $ign 			1 times
BLACKPINK 			1 times
Machine Gun Kelly 		1 times
dutchavelli 			1 times
Wallows 			1 times
Niko B 				1 times
Post Malone 			2 times
Roddy Ricch 			1 times
WhoHeem 			1 times
Stormzy 			2 times
Swarmz 				1 times
Billie Eilish 			4 times
Saweetie 			1 times
Travis Scott 			3 times
Future 				1 times
GRM Daily 			1 times
Young T & Bugsey 		2 times
Eminem 				1 times
Vance Joy 			1 times
Toploader 			1 times
JP Saxe 			1 times
Oasis 				2 times
Arctic Monkeys 			2 times
Fredo 				1 times
The Kid LAROI 			1 times
PARTYNEXTDOOR 			1 times
Kygo 				2 times
Bugzy Malone 			1 times
BANNERS 			1 times
Rudimental 			1 times
Dominic Fike 			1 times
Ed Sheeran 			2 times
XXXTENTACION 			2 times
Abra Cadabra 			2 times
Curtis Waters 			1 times
Arizona Zervas 			1 times
Lil Tjay 			1 times
D-Block Europe 			1 times
James Arthur 			1 times
Marshmello 			1 times
Polo G 				2 times
Fleetwood Mac 			4 times
Kendrick Lamar 			1 times
Tame Impala 			1 times
Surf Mesa 			1 times
George Ezra 			1 times
Sam Feldt 			1 times
MEDUZA 				1 times
Khalid 				1 times
Doja Cat 			1 times
Don Toliver 			1 times
blackbear 			1 times
Bryan Adams 			1 times
The Kooks 			1 times
Jax Jones 			1 times
Whitney Houston 		1 times
Dean Lewis 			1 times
Nea 				1 times
Noah Cyrus 			1 times
Burna Boy 			1 times
flora cash 			1 times
Journey 			1 times
Electric Light Orchestra 	1 times
Trevor Daniel 			1 times
Imagine Dragons 		1 times
Sam Smith 			1 times
Passenger 			1 times
Shawn Mendes 			1 times
Popcaan 			1 times
SL 				1 times
