,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",538896,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Mood (feat. Iann Dior)",24kGoldn,435325,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Head & Heart (feat. MNEK)","Joel Corry",419396,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
4,"Ain't It Different (feat. AJ Tracey & Stormzy)","Headie One",373658,https://open.spotify.com/track/6NJfIydBMYrXvlaXsFxmc8
5,"Laugh Now Cry Later (feat. Lil Durk)",Drake,303202,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
6,"Lighter (feat. KSI)","Nathan Dawe",300515,https://open.spotify.com/track/5lWUeSYO61UYgNlFlqcwYl
7,"Mood Swings (feat. Lil Tjay)","Pop Smoke",290690,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
8,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,262730,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
9,"GREECE (feat. Drake)","DJ Khaled",252160,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
10,"West Ten","AJ Tracey",245011,https://open.spotify.com/track/33EGYJLLwz56YIP5Ex9VKs
11,"Savage Love (Laxed - Siren Beat)","Jawsh 685",242115,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
12,"Watermelon Sugar","Harry Styles",228629,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Go Crazy","Chris Brown",222982,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
14,"Blinding Lights","The Weeknd",215165,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Breaking Me",Topic,203642,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
16,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",191105,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
17,"Rain On Me (with Ariana Grande)","Lady Gaga",189271,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
18,"Looking for Me","Paul Woolford",177940,https://open.spotify.com/track/17bGtGqqaXOgVnhnfx5NlE
19,"Midnight Sky","Miley Cyrus",173519,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
20,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",171544,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
21,"Wishing Well","Juice WRLD",166982,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
22,Secrets,Regard,165219,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
23,"Play the Beat","Dj 4rain",161863,https://open.spotify.com/track/1UrcnP6VnExV9AUoBwVdOZ
24,Heather,"Conan Gray",159019,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
25,"Come & Go (with Marshmello)","Juice WRLD",156093,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
26,"Dinner Guest (feat. MoStack)","AJ Tracey",153948,https://open.spotify.com/track/5y0ekFHNfFbjKhZlguSzdf
27,"Rover (feat. DTG)",S1mba,153358,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
28,"you broke me first","Tate McRae",149045,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
29,"Take You Dancing","Jason Derulo",147808,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
30,"I Dunno (feat. Dutchavelli & Stormzy)","Tion Wayne",145524,https://open.spotify.com/track/3B0WbRucJ6ZIla2G9IVt2E
31,"Heaven On My Mind (with Sigala)","Becky Hill",142861,https://open.spotify.com/track/7bIq1v8svANsAys7I694Up
32,"Only You Freestyle","Headie One",135939,https://open.spotify.com/track/4OENnoidV0h8gJV6bhrw7r
33,Dynamite,BTS,135688,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
34,"Airplane Mode (feat. NSG)",Nines,132121,https://open.spotify.com/track/4Dech2aFB9vMxRFF4rJAM1
35,"Obey (with YUNGBLUD)","Bring Me The Horizon",130474,https://open.spotify.com/track/7fQox8Ere1HDm0jhSnsFHu
36,"Roses - Imanbek Remix","SAINt JHN",129879,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
37,"Fake Friends (feat. Alex Hosking)",PS1,128057,https://open.spotify.com/track/0UBjV0qdhBKQLnl8tNXb9e
38,"Tick Tock (feat. 24kGoldn)","Clean Bandit",127979,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
39,Holiday,"Little Mix",126263,https://open.spotify.com/track/44gz3bzhdcGUFgA5oc1wSu
40,"Smile (with The Weeknd)","Juice WRLD",123735,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
41,"Someone You Loved","Lewis Capaldi",117049,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
42,"Over Now (with The Weeknd)","Calvin Harris",116515,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
43,"Don’t Need Love (with GRACEY)","220 KID",115391,https://open.spotify.com/track/7uBaKZZVK0OZ6cqFGpGRXI
